CarID,Make,Type,Color,VIN,IntoService,DailyRentalFee
1,Chevrolet,Sedan,Silver,WBAYE4C58DD399108,1/5/2018,47.69
2,Chevrolet,Compact SUV,Gold,WP1AE2A23EL281570,1/6/2018,50.39
3,Ford,Compact SUV,Blue,1N6BF0KXXFN894194,1/11/2018,50.39
4,Ford,SUV,Maroon,WAUDN74F48N425176,1/13/2018,59.39
5,Honda,Compact SUV,White,WVWAN7AN1DE112713,1/13/2018,50.39
6,Nissan,Full-size,Red,JH4CU2F66BC660813,1/16/2018,35.99
7,Honda,Compact SUV,Gray,JN8AZ2KR6AT112856,1/17/2018,50.39
8,Chevrolet,Sedan,Gray,WAUVT58E15A424828,1/21/2018,47.69
9,Toyota,SUV,Blue,WAUPFAFMXAA720167,1/23/2018,59.39
10,Honda,Compact,White,1N6AA0ED3FN500756,1/25/2018,22.49
11,Ford,Compact SUV,Maroon,JA32X8HW2CU559069,1/29/2018,50.39
12,Toyota,Full-size,White,1G4HP52K35U667182,2/1/2018,35.99
13,Honda,Compact,Silver,5FPYK1F50EB283778,2/7/2018,22.49
14,Chevrolet,Full-size,Red,1GKS1GEJ2DR299559,3/1/2018,35.99
15,Chevrolet,Compact,White,1C3CDZAB5DN625870,3/1/2018,22.49
16,Ford,Compact SUV,Red,WAUBFAFL4BA154123,3/6/2018,50.39
17,Chevrolet,Compact,Maroon,WAUHGBFC7DN308123,3/16/2018,22.49
18,Chevrolet,Full-size,Maroon,JHMGE8G38DC793632,3/30/2018,35.99
19,Ford,Compact,Gold,1N4AL3AP6EC435903,3/31/2018,22.49
20,Toyota,Compact,Black,1FTSW2A55AE933827,4/6/2018,22.49
21,Chevrolet,Full-size,Black,SCBLC47J08C017338,4/17/2018,35.99
22,Chevrolet,Full-size,Gold,1GD02ZCG3CF334205,4/17/2018,35.99
23,Chevrolet,Compact,Silver,2HNYD28398H640985,5/4/2018,22.49
24,Ford,Full-size,Gray,2G4WB55K431791956,5/7/2018,35.99
25,Chevrolet,Compact,Gray,3C3CFFJH6ET582123,5/10/2018,22.49
26,Chevrolet,SUV,Black,1FMJU1G59AE142571,5/11/2018,59.39
